Date,Actual_Consumption,Predicted_Consumption
2021-09-30,218698,218411.59
2021-10-01,219036,219764.06
2021-10-02,202503,207409.89
2021-10-03,196009,200310.18
2021-10-04,211541,214763.94
2021-10-05,215019,213973.97
2021-10-06,212095,219110.58
2021-10-07,211792,215196.84
2021-10-08,214385,216755.88
2021-10-09,200039,201395.71
2021-10-10,197540,195129.23
2021-10-11,215028,214549.77
2021-10-12,218622,220556.99
2021-10-13,223213,225236.44
2021-10-14,229214,224531.93
2021-10-15,227300,230274.43
2021-10-16,218790,215556.91
2021-10-17,216561,215659.23
2021-10-18,234695,233902.88
2021-10-19,241310,231894.83
2021-10-20,236450,245385.05
2021-10-21,225595,236474.2
2021-10-22,237545,226085.43
2021-10-23,235898,228988.41
2021-10-24,234489,224731.02
2021-10-25,234277,249527.3
2021-10-26,230363,237343.7
2021-10-27,232819,228390.15
2021-10-28,234718,234021.34
2021-10-29,230046,231974.24
2021-10-30,218373,220636.34
2021-10-31,212833,217699.14
2021-11-01,228144,224142.82
2021-11-02,231724,226353.78
2021-11-03,233933,231930.85
2021-11-04,227851,236974.32
2021-11-05,234703,233174.69
2021-11-06,225820,224726.24
2021-11-07,233116,218213.68
2021-11-08,254729,246693.97
2021-11-09,262426,254783.63
2021-11-10,241579,261050.7
2021-11-11,241545,245327.06
2021-11-12,244210,242171.03
2021-11-13,240835,232459.01
2021-11-14,238614,231429.46
2021-11-15,257954,245664.94
2021-11-16,243616,257440.93
2021-11-17,241766,246873.49
2021-11-18,239972,244128.38
2021-11-19,247481,241995.67
2021-11-20,238165,239239.91
2021-11-21,241459,232697.54
2021-11-22,269745,252940.64
2021-11-23,268496,272115.35
2021-11-24,259392,270155.05
2021-11-25,262531,259615.35
2021-11-26,271492,259055.1
2021-11-27,277835,257497.51
2021-11-28,278284,268912.47
2021-11-29,294272,286908.32
2021-11-30,301088,286738.61
2021-12-01,298937,287823.84
2021-12-02,300950,286393.31
2021-12-03,303124,285108.96
2021-12-04,295013,280632.63
2021-12-05,310211,281811.14
2021-12-06,306846,287343.59
2021-12-07,320207,282943.62
2021-12-08,325933,298631.09
2021-12-09,315087,299850.33
2021-12-10,300775,288782.94
2021-12-11,272617,281073.18
2021-12-12,258771,264194.71
2021-12-13,270371,273063.83
2021-12-14,262524,269311.33
2021-12-15,263583,262881.9
2021-12-16,263331,261819.05
2021-12-17,267349,262286.42
2021-12-18,254434,255420.81
2021-12-19,257498,249180.83
2021-12-20,295420,275717.12
2021-12-21,302105,287665.69
2021-12-22,301673,283689.55
2021-12-23,277368,283108.7
2021-12-24,275593,272586.6
2021-12-25,277947,265947.02
2021-12-26,286878,269941.81
2021-12-27,301044,288242.06
2021-12-28,293620,286796.22
2021-12-29,278384,281161.87
2021-12-30,267661,271265.72
2021-12-31,227751,261649.17
